name,location,price,price_for,room_type,beds,rating,rating_title
Al Fahad Hotel Suites Al Tahliya,Jeddah,198,"1 night, 1 adult",Budget Double Room,1 extra-large double bed,8.1,Very good
Ascott Tahlia Jeddah,Jeddah,473,"1 night, 1 adult",Executive Studio,1 large double bed,7.6,Good
Al Louloah Al Baraqah Furnished Apartments,Jeddah,176,"1 night, 1 adult",Standard Single Room,1 single bed,8.5,Very good
Rahat Al Bal Furnished Units,Jeddah,204,"1 night, 1 adult",Family Studio,2 single beds,8.2,Very good
Dara Hamra,Jeddah,520,"1 night, 1 adult",Studio Apartment,1 large double bed,8.7,Fabulous
منازل الجميرة للشقق الفندقية,Jeddah,182,"1 night, 1 adult",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",8,Very good
Dara Al Salam,Jeddah,467,"1 night, 1 adult",Suite Studio,1 extra-large double bed,9,Superb
Orans Suites 4,Jeddah,413,"1 night, 1 adult",Royal Studio,1 large double bed,7.9,Good
Casablanca Grand Hotel,Jeddah,1350,"1 night, 1 adult",Executive Suite,"2 beds
(1 extra-large double, 1 sofa bed)",9,Superb
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,"1 night, 1 adult",Family Studio,1 double bed,7.7,Good
Mrakez Alarab Furnished Apartments 3,Jeddah,250,"1 night, 1 adult",Two-Bedroom Apartment,"3 beds
(2 singles, 1 large double)",7.9,Good
Adagio Aparthotel Jeddah Malik Road,Jeddah,570,"1 night, 1 adult",One-Bedroom Apartment,1 extra-large double bed,8.2,Very good
Al Fahad Hotel Suites Al Tahliya,Jeddah,198,"1 night, 1 adult",Budget Double Room,1 extra-large double bed,8.1,Very good
Ascott Tahlia Jeddah,Jeddah,449,"1 night, 1 adult",Executive Studio,1 large double bed,7.6,Good
Al Louloah Al Baraqah Furnished Apartments,Jeddah,176,"1 night, 1 adult",Standard Single Room,1 single bed,8.5,Very good
Rahat Al Bal Furnished Units,Jeddah,204,"1 night, 1 adult",Family Studio,2 single beds,8.2,Very good
Al Balad Inn Corniche,Jeddah,333,"1 night, 1 adult",Junior Suite,1 large double bed,7.3,Good
Dara Hamra,Jeddah,520,"1 night, 1 adult",Studio Apartment,1 large double bed,8.7,Fabulous
منازل الجميرة للشقق الفندقية,Jeddah,182,"1 night, 1 adult",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",8,Very good
Dara Al Salam,Jeddah,467,"1 night, 1 adult",Suite Studio,1 extra-large double bed,9,Superb
"Park Hyatt Jeddah - Marina, Club and Spa",Jeddah,1500,"1 night, 1 adult",King Room,1 extra-large double bed,8,Very good
